users, load 0,00
stopped, 1 zombie
id, 0,0 st
used, 505512 buff/cache
748312 avail Mem
  
%CPU %MEM COMMAND
25,0 0,3 top
10,0 3,5 python3.7
0,0 0,6 systemd
0,0 0,0 kthreadd
0,0 0,0 rcu_gp
0,0 0,0 rcu_par_gp
0,0 0,0 mm_percpu_wq
0,0 0,0 ksoftirqd/0
0,0 0,0 rcu_sched
0,0 0,0 rcu_bh
0,0 0,0 migration/0
0,0 0,0 cpuhp/0
0,0 0,0 cpuhp/1
0,0 0,0 migration/1
0,0 0,0 ksoftirqd/1
0,0 0,0 cpuhp/2
0,0 0,0 migration/2
0,0 0,0 ksoftirqd/2
0,0 0,0 kworker/2:0H-kb
0,0 0,0 cpuhp/3
0,0 0,0 migration/3
0,0 0,0 ksoftirqd/3
0,0 0,0 kdevtmpfs
0,0 0,0 netns
0,0 0,0 khungtaskd
0,0 0,0 oom_reaper
0,0 0,0 writeback
0,0 0,0 kcompactd0
0,0 0,0 crypto
0,0 0,0 kblockd
0,0 0,0 watchdogd
0,0 0,0 rpciod
0,0 0,0 kworker/u9:0-hc
0,0 0,0 xprtiod
0,0 0,0 kswapd0
0,0 0,0 nfsiod
0,0 0,0 kthrotld
0,0 0,0 iscsi_eh
0,0 0,0 dwc_otg
0,0 0,0 Notificatio
0,0 0,0 vchiq-slot/0
0,0 0,0 vchiq-recy/0
0,0 0,0 vchiq-sync/0
0,0 0,0 vchiq-keep/0
0,0 0,0 SMIO
0,0 0,0 irq/86-mmc1
0,0 0,0 mmc_complete
0,0 0,0 kworker/1:1H-kb
0,0 0,0 kworker/0:1H-mm
0,0 0,0 jbd2/mmcblk0p7-
0,0 0,0 ext4-rsv-conver
0,0 0,0 irq/166-usb-001
0,0 0,0 ipv6_addrconf
0,0 0,0 kworker/3:2H-kb
0,0 0,8 systemd-journal
0,0 0,4 systemd-udevd
0,0 0,0 SMIO
0,0 0,0 mmal-vchiq
0,0 0,0 mmal-vchiq
0,0 0,0 mmal-vchiq
0,0 0,0 cfg80211
0,0 0,0 brcmf_wq/mmc1:0
0,0 0,0 brcmf_wdog/mmc1
0,0 0,4 systemd-timesyn
0,0 0,3 thd
0,0 0,3 cron
0,0 0,4 dbus-daemon
0,0 0,3 rsyslogd
0,0 0,4 systemd-logind
0,0 0,4 wpa_supplicant
0,0 0,3 avahi-daemon
0,0 0,0 kworker/3:1-cgr
0,0 0,0 avahi-daemon
0,0 0,2 dhcpcd
0,0 0,6 lightdm
0,0 0,2 agetty
0,0 0,0 xrdp-sesman
0,0 0,2 xrdp
0,0 0,5 sshd
0,0 3,5 Xorg
0,0 0,4 wpa_supplicant
0,0 0,7 lightdm
0,0 0,6 systemd
0,0 0,2 (sd-pam)
0,0 1,2 lxsession
0,0 0,4 dbus-daemon
0,0 0,0 ssh-agent
0,0 0,6 gvfsd
0,0 0,5 gvfsd-fuse
0,0 1,5 openbox
0,0 1,0 lxpolkit
0,0 4,5 lxpanel
0,0 2,1 pcmanfm
0,0 0,0 ssh-agent
0,0 0,7 polkitd
0,0 0,0 hciattach
0,0 0,0 kworker/u9:2-hc
0,0 0,4 bluetoothd
0,0 0,4 bluealsa
0,0 0,0 krfcommd
0,0 0,5 menu-cached
0,0 1,1 gvfs-udisks2-vo
0,0 0,8 udisksd
0,0 0,0 sh
0,0 0,5 gvfs-gphoto2-vo
0,0 0,5 gvfs-goa-volume
0,0 0,5 gvfs-mtp-volume
0,0 0,5 gvfs-afc-volume
0,0 0,7 gvfsd-trash
0,0 0,0 jbd2/mmcblk0p5-
0,0 0,0 ext4-rsv-conver
0,0 1,2 packagekitd
0,0 0,0 kworker/2:1-eve
0,0 0,0 kworker/0:0H
0,0 0,0 kworker/3:0-mm_
0,0 0,0 kworker/2:0-mm_
0,0 0,0 kworker/0:2-eve
0,0 0,0 kworker/u8:2-ev
0,0 0,0 kworker/2:2H
0,0 0,0 kworker/1:0-eve
0,0 0,0 kworker/3:1H
0,0 0,0 kworker/u8:0-ev
0,0 0,0 kworker/1:2H
0,0 0,0 kworker/0:0-eve
0,0 0,0 kworker/1:2-eve
0,0 0,6 sshd
0,0 0,4 sshd
0,0 0,4 bash
0,0 0,0 kworker/0:2H
0,0 0,0 kworker/2:1H
0,0 0,0 kworker/1:1-eve
0,0 0,0 kworker/0:1-eve
0,0 0,0 kworker/u8:1-ev
0,0 0,0 kworker/3:0H
0,0 0,0 kworker/1:0H
0,0 0,0 Main
0,0 0,0 sh
0,0 0,1 awk
---------- END OF OUTPUT -----------
users, load 0,00
stopped, 1 zombie
id, 0,0 st
used, 505624 buff/cache
749196 avail Mem
  
%CPU %MEM COMMAND
5,6 0,0 rcu_sched
5,6 0,3 top
0,0 0,6 systemd
0,0 0,0 kthreadd
0,0 0,0 rcu_gp
0,0 0,0 rcu_par_gp
0,0 0,0 mm_percpu_wq
0,0 0,0 ksoftirqd/0
0,0 0,0 rcu_bh
0,0 0,0 migration/0
0,0 0,0 cpuhp/0
0,0 0,0 cpuhp/1
0,0 0,0 migration/1
0,0 0,0 ksoftirqd/1
0,0 0,0 cpuhp/2
0,0 0,0 migration/2
0,0 0,0 ksoftirqd/2
0,0 0,0 kworker/2:0H-kb
0,0 0,0 cpuhp/3
0,0 0,0 migration/3
0,0 0,0 ksoftirqd/3
0,0 0,0 kdevtmpfs
0,0 0,0 netns
0,0 0,0 khungtaskd
0,0 0,0 oom_reaper
0,0 0,0 writeback
0,0 0,0 kcompactd0
0,0 0,0 crypto
0,0 0,0 kblockd
0,0 0,0 watchdogd
0,0 0,0 rpciod
0,0 0,0 kworker/u9:0-hc
0,0 0,0 xprtiod
0,0 0,0 kswapd0
0,0 0,0 nfsiod
0,0 0,0 kthrotld
0,0 0,0 iscsi_eh
0,0 0,0 dwc_otg
0,0 0,0 Notificatio
0,0 0,0 vchiq-slot/0
0,0 0,0 vchiq-recy/0
0,0 0,0 vchiq-sync/0
0,0 0,0 vchiq-keep/0
0,0 0,0 SMIO
0,0 0,0 irq/86-mmc1
0,0 0,0 mmc_complete
0,0 0,0 kworker/1:1H-kb
0,0 0,0 kworker/0:1H-mm
0,0 0,0 jbd2/mmcblk0p7-
0,0 0,0 ext4-rsv-conver
0,0 0,0 irq/166-usb-001
0,0 0,0 ipv6_addrconf
0,0 0,0 kworker/3:2H-kb
0,0 0,8 systemd-journal
0,0 0,4 systemd-udevd
0,0 0,0 SMIO
0,0 0,0 mmal-vchiq
0,0 0,0 mmal-vchiq
0,0 0,0 mmal-vchiq
0,0 0,0 cfg80211
0,0 0,0 brcmf_wq/mmc1:0
0,0 0,0 brcmf_wdog/mmc1
0,0 0,4 systemd-timesyn
0,0 0,3 thd
0,0 0,3 cron
0,0 0,4 dbus-daemon
0,0 0,3 rsyslogd
0,0 0,4 systemd-logind
0,0 0,4 wpa_supplicant
0,0 0,3 avahi-daemon
